Tweet,Sentiment
b'@Charalanahzard @FunhausTeam Woah! Youre hanging out with the star of Game of Thrones! ',negative
b'RT @ryanpknyc: Guess you can tell I finished watching game of thrones last night...\n.\nStill two books left at least..\n.\n#eerie#StartUp #gri',negative
"b""RT @goldengateblond: how is it possible the Game of Thrones finale was only three weeks ago THREE WEEKS I'm broken I don't understand how t""",negative
b'RT @MLB: Shohei Ohtani uses the Game of Thrones theme as his walk-up song . \n \nWho has the best walk-up music in the majors?  https://t.c',positive
b'RT @mari__virginia: My parents are on a game of thrones winterfell tour in Northern Ireland and Im having a hard time keeping it together',negative
b'@TBlackford3 The problem with The Dark Tower ending is that after reading the series for so long no ending seemed f https://t.co/oSCTRMkJgn',negative
b'@dokuz8haber Teneffus zili olarak Game of thrones jenerik muzigini kullanan imam hatipler var. Bu kafayla zil calar https://t.co/1TmgMNIQG0',negative
b'@Spurzinho Game of Thrones',negative
b'RT @BestMovieLine: Game of Thrones https://t.co/dA6Vv8dwJ1',negative
b'RT @MLB: Shohei Ohtani uses the Game of Thrones theme as his walk-up song . \n \nWho has the best walk-up music in the majors?  https://t.c',positive
b'RT @wbshopUK: The night is dark and full of terrors.\n\nRT &amp; Follow to be in with the chance to #Win this #GameOfThrones #Funko Pop!\n\n&gt;&gt; ht',positive
b'Thanks @StokeyLitFest for hosting a great evening; the winning team got a staggering 54/60 in The Game Of Thrones quiz. @RedLionN16',positive
"b'@WilsonF1979 @monarq_brasil Esse pessoal anda vendo muito ""Game of Thrones"" \nKkk'",negative
b'RT @Sincerabot: Game of Thrones.',negative
b'RT @MLB: Shohei Ohtani uses the Game of Thrones theme as his walk-up song . \n \nWho has the best walk-up music in the majors?  https://t.c',positive
"b'a forest fire prevention specialist and former fun-runner, who has eaten a mille-feuille on every continent, and on https://t.co/ZvoDO6fpT8'",negative
"b'Olha, eu aguentei todo mundo falando de de game of thrones agora vo ter que me aguentar falando de big little lies to nem ai bjs'",negative
b'@5liveSport @bbc606 I am telling you the Game of Thrones ending was brilliant. Firstly...',positive
"b'June 10, 2019 at exactly 3:00 am, I finished the last episode of the last season of Game of Thrones '",negative
"b'RT @PaseAlVacio: El paquete de HBO en DirecTV en Colombia cuesta $33.000 (US$10). Pasan series como Game of Thrones, Chernobyl, y grandes p'",negative
